id	filename	md5	size	state
14175379-8fee-4b3f-8128-25df5adaf22a	8ef0c974-0cab-43df-89dd-d13c24becfff.FPKM.txt.gz	44609eba5ab2130457b24ea5ff18e092	302307	validated
278bf355-5794-47aa-baf9-e44a6879c000	7bdbefb8-dff8-4754-8b96-0b35785abc3c.FPKM.txt.gz	d07293fad23f7ef9aa93d0471c615df1	295534	validated
29a85e62-347a-4544-9869-893fb39cc602	da577b4a-364c-4161-908b-904e669e26f0.FPKM.txt.gz	d5795dc09e052f712c693509cb8aa47e	295758	validated
3ad8e17f-235f-41a0-81a8-59f9e409edb2	98da9d5c-e58f-4750-8f08-884eafedd2e1.FPKM.txt.gz	625e9113eb09e0154dfbdcb2cd276857	303460	validated
441c5493-d2e3-46cc-881d-15f61183bef2	53ce822d-bc91-45ff-93f8-f4e6903d6c1b.FPKM.txt.gz	1c65af3b0e01a4a961a2bb7bb2859bd5	302369	validated
4e25f481-02e8-4193-8fab-884197737e3e	d4927620-a881-4035-9755-f2759e204c4f.FPKM.txt.gz	6091a2c07401d7ed0ec76617033d8866	310299	validated
4f9f4497-5ab3-40a4-aebf-7b5ece63c715	114b3579-4629-4390-ba85-d923d8dd308e.FPKM.txt.gz	806f3725cc404592788764c3aec5910d	306061	validated
52f1d873-b2b2-46cd-96fc-4225f7997b06	a2157356-1a36-41a4-a32e-a3400211bb3f.FPKM.txt.gz	883fde1806b6efc7075548e6530acdd7	303331	validated
66b461b8-e0a8-4dea-bddc-912d4b44ce8e	080c532c-19f4-4738-a3b1-391fc91df59a.FPKM.txt.gz	f5389557507c514864a0a645164131bd	299935	validated
69269716-4a8d-4899-955c-a5dae4203a43	e17a7ff0-fe84-4754-8db2-261b4db37d61.FPKM.txt.gz	0a4c52fc20bf69d4e961472920f7be92	301577	validated
6f666e54-199c-48e3-b528-8f6432797b44	5e7348d1-8c2a-4971-aeaf-e6b6aef1bc81.FPKM.txt.gz	a9ce610e75e466e5fd8c415c02320727	306954	validated
70fc0be0-ee4b-4aa6-a95b-5b3612cfca0f	6983df41-aae4-4763-8f1a-d834ce6b4fdb.FPKM.txt.gz	83c4e4fa6e2cbe0a77f110133ab3eca8	299691	validated
74618e74-7203-480b-92bd-13a50f7b2489	84372c78-90e9-455f-b849-c9ac567ed6da.FPKM.txt.gz	439659003e03033ceae240ab3021c6a7	301030	validated
7c22576c-31c6-47b5-9c17-85802be92d21	fe7122fe-b9e0-47a0-978f-0dffadbec157.FPKM.txt.gz	7111d6d5045784777245adf3f67d5b40	305304	validated
8538e607-5aa4-434d-a85e-b426b0fc2656	e8ffcc3f-a7cc-474c-bef5-a96dce97b2fd.FPKM.txt.gz	5160eeea84b6a577385fc8f14db7b765	294696	validated
8902f831-e674-4aa1-8c22-c04096706b66	f51abf73-9e9d-41a9-9a40-5ff9257435d3.FPKM.txt.gz	711cbdffee17df2d6e13765b71ce7340	303992	validated
97ee7cc3-29c5-4972-8bda-45db3f04ee70	46822147-dc34-4da8-9bdb-e8cb0a4b530f.FPKM.txt.gz	b16ee6f99ec6179d5d72033b3bf18e01	298936	validated
9867309c-3611-4676-a4c3-0df73fd9d58c	cfc895dc-976d-4735-8794-8ac6b33b8ed6.FPKM.txt.gz	32956c5c6d8058311ec90fb3a9365743	306509	validated
9cdfcd6a-7783-4ac9-9ccc-14923f0f0c1b	d4e6135c-c14a-4656-b312-cc6ca4e920d3.FPKM.txt.gz	e4e7f928283027912b7a867bb961e411	302646	validated
a8990014-d6bc-4c4a-9889-d4c1a05d0f7f	c12cc9ea-2e8d-4cb2-b47a-111cbefafac8.FPKM.txt.gz	4d7bfff86aa6053b0f0c84b526bb58d0	294908	validated
e275e097-97ed-44f7-9da3-d7cf7380c794	f62bab31-8f71-41fc-8251-f39be9f969d2.FPKM.txt.gz	397a6f2ab922c3d5fa5108ef93e000b6	299072	validated
f0640eb9-1e21-42a0-868c-a533a174af5a	9c2abc36-1984-4374-bf46-85eecc443f9d.FPKM.txt.gz	4768e916428130b7f4d0fa08879b9450	304777	validated
fb7c1788-79ab-44d1-85b2-aad349617528	1190af16-384d-4090-9209-6a1079110a52.FPKM.txt.gz	4abcc3e7eddeb299fb8143652d6394a0	298123	validated
fe3b32f3-5363-4289-8197-944699121ed5	70a3d088-8137-4e02-a4b4-ee50b931b6ca.FPKM.txt.gz	4e3bf3b8937f3615377c3beb79087ca0	306718	validated
